ED_ID,Electoral Division Name (English),GAEILGE,CONTAE,COUNTY,PROVINCE,GUID,CENTROID_X,CENTROID_Y,AREA,ESRI_OID,Shape__Area,Shape__Length
267080,DUNDRUM-SANDYFORD,Dún Droma-Áth an Ghainimh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d5c-13a3-e055-000000000001,717506.94,726459.05,2474179.89,1767,2474179.891,7683.225139
267051,CLONDALKIN-MOORFIELD,Cluain Dolcáin-Gort an Mhúraigh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d00-13a3-e055-000000000001,707279.63,733207.94,2236588.73,1772,2236588.728,7396.253995
267076,DUN LAOGHAIRE-SANDYCOVE,Dún Laoghaire-Cuas an Ghainimh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d58-13a3-e055-000000000001,725510.1,727482.32,974145.23,1791,974145.2259,4903.284371
267065,DONABATE,Domhnach Bat,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d38-13a3-e055-000000000001,725841.79,749553.53,24416281.46,1819,24416281.46,49864.78093
267155,TERENURE-CHERRYFIELD,Tír an Iúir-Gort na Silíní,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cd7-13a3-e055-000000000001,711607.95,730564.83,453786.72,1847,453786.7193,2939.388017
268083,KILMAINHAM A,Cill Mhaighneann A,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d8b-13a3-e055-000000000001,711092.19,733762.21,255397.69,1849,255397.69,2889.988943
268100,MERCHANTS QUAY C,Cé na gCeannaithe C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1da3-13a3-e055-000000000001,714561.38,733411.63,331101.04,1854,331101.0356,2859.320496
268131,RATHMINES EAST D,Ráth Maonais Thoir D,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dd6-13a3-e055-000000000001,716314.71,731694.79,359617.55,1857,359617.5525,3202.505202
267090,FOXROCK-TORQUAY,Carraig an tSionnaigh-Torquay,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1d7c-13a3-e055-000000000001,721208.09,726234.74,962398.8,1880,962398.8006,4182.111771
267137,TALLAGHT-BELGARD,Tamhlacht-Belgard,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cb4-13a3-e055-000000000001,707176.32,729433.06,2732906.29,1894,2732906.286,7166.399921
267145,TALLAGHT-MILLBROOK,Tamhlacht-Sruth an Mhuilinn,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ccd-13a3-e055-000000000001,709740.94,726950.99,643382.15,1904,643382.1542,3607.358706
267041,CASTLEKNOCK-PARK,Caisleán Cnucha-An Pháirc,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1cf6-13a3-e055-000000000001,709717.99,737566.77,2435730.14,1925,2435730.137,7272.95292
268117,PEMBROKE WEST C,Peambróg Thiar C,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dbd-13a3-e055-000000000001,716955.45,732823.2,673457.71,1926,673457.7055,3457.188377
267102,LUCAN NORTH,Leamhcán Thuaidh,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1dc9-13a3-e055-000000000001,704007.09,736731.57,9531515.15,1929,9531515.152,16601.78904
267158,THE WARD,An Barda,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1ce8-13a3-e055-000000000001,708644.51,743240.35,24648782.77,1930,24648782.77,26950.76902
267119,SAGGART,Teach Sagard,Baile Átha Cliath,DUBLIN,Leinster,2ae19629-1e16-13a3-e055-000000000001,703235.75,724286.41,13477669.42,1936,13477669.42,23805.684
