FID,District_N,District_C,Division,Area_Sq_km,Area_Sq_Mi,Revised_YN,Revised_Da,Pop_by_Dis,Housholds_,Comments,FID_1,STATION_NA,DIVISION_H,ADDRESS,,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY,Shape_Leng,Shape__Area,Shape__Length,COUNTRY
26,Kevin Street,1070G,DMR South Central,7.585,2.929,YES,2019/11/28 00:00:00+00,55745,23860, ,240,KEVIN STREET,KEVIN STREET,"Kevin Street Upper, Dublin 8",,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Kevin-Street.html,315268,233451,715193,733478,-6.270248,53.338982,1,1,6669400,Division HQ,14915.51941,7616883.814,14915.51941,IRELAND
27,Donnybrook,1200K,DMR South Central,21.486,8.296,YES,2019/11/28 00:00:00+00,55511,21694, ,232,DONNYBROOK,KEVIN STREET,43 Donnybrook Road,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Donnybrook.html,317602,231588,717527,731615,-6.235914,53.321731,1,1,6669200,District HQ,23333.05801,21575284.67,23333.05801,IRELAND
28,Blackrock,1970D,DMR East,55.532,21.441,YES,2019/11/28 00:00:00+00,104565,38051, ,223,BLACKROCK,DUN LAOGHAIRE,Sweetmans Avenue,,DUBLIN,https://www.garda.ie/en/Contact-Us/Station-Directory/Blackrock-Dublin.html,321556,229246,721480,729273,-6.177504,53.299805,1,1,6665200,District HQ,46375.25588,55761457.22,46375.25588,IRELAND
29,Bray,1930E,Wexford & Wicklow,217.509,83.981,YES,2019/11/28 00:00:00+00,65889,22460, ,54,BRAY,WEXFORD,"Convent Avenue, Bray, Co. Wicklow",,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Bray.html,326982,218126,726905,718156,-6.100595,53.198679,1,1,6665300,District HQ,87943.9623,218407731.7,87943.9623,IRELAND
30,Wicklow,3200L,Wexford & Wicklow,900.693,347.759,YES,2019/11/28 00:00:00+00,50239,17661, ,64,WICKLOW,WEXFORD,"Batchelor's Walk, Wicklow, Co. Wicklow",,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Wicklow.html,331516,194057,731438,694092,-6.042638,52.981435,1,404,60140,District HQ,174601.4713,904348052.2,174601.4713,IRELAND
31,Baltinglass,2900K,Wexford & Wicklow,901.084,347.911,YES,2019/11/28 00:00:00+00,26521,9262, ,52,BALTINGLASS,WEXFORD,Edward Street,,WICKLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Baltinglass.html,286795,188319,686727,688355,-6.709772,52.938986,1,59,6482610,District HQ,248282.3327,904647522,248282.3327,IRELAND
32,Carlow,2800B,Kilkenny/Carlow & Waterford,861.13,332.484,YES,2019/11/28 00:00:00+00,59908,21456, ,70,CARLOW,WATERFORD,"Greenbank Road, Carlow, Co. Carlow",,CARLOW,https://www.garda.ie/en/Contact-Us/Station-Directory/Carlow.html,272198,177119,672133,677158,-6.929317,52.840527,1,59,9136620,District HQ,210101.2474,864426931.5,210101.2474,IRELAND
33,Portlaoise,2500C,Kildare & Laois/Offaly,1800.957,695.353,YES,2019/11/28 00:00:00+00,84341,29038, ,375,PORTLAOISE,PORT LAOISE,"Abbeyleix Rd, Portlaois",,LAOIS,https://www.garda.ie/en/Contact-Us/Station-Directory/Portlaoise.html,246806,198079,646746,698113,-7.303082,53.03165,1,57,8674100,District HQ,272867.4288,1807773154,272867.4288,IRELAND
34,Enniscorthy,3100C,Wexford & Wicklow,1284.108,495.797,YES,2019/11/28 00:00:00+00,73608,26116, ,36,ENNISCORTHY,WEXFORD,"Lymington Rd, Enniscorthy",,WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Enniscorthy.html,297114,139729,697044,639776,-6.570682,52.500739,1,53,9233534,District HQ,210294.8614,1289115626,210294.8614,IRELAND
35,Wexford,3000G,Wexford & Wicklow,511.123,197.346,YES,2019/11/28 00:00:00+00,48883,18035, ,47,WEXFORD,WEXFORD,"3 Roches Road, Wexford, Co. Wexford",,WEXFORD,https://www.garda.ie/en/Contact-Us/Station-Directory/Wexford.html,304886,121500,704813,621551,-6.461997,52.335547,1,53,9165200,District HQ,184574.0415,513074446.2,184574.0415,IRELAND
